Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area (area in m²),Equipped kitchen (0/1),Furnished (0/1),Open fire (0/1),Terrace (area in m² or null if no terrace),Garden (area in m² or null if no garden),Number of facades,Swimming pool (0/1),State of building
20240478,lierde,9570,"€398,175",Other,,,,,0,0,0,,,,0,
20240433,zulte-machelen,9870,"€399,000
*
399000€",Other,,,,,0,0,0,,,,0,
20239563,bruxelles,1000,"€615,000",Other,,,,,0,0,0,,,,0,
20239414,ukkel,1180,"€774,500",Other,,,,,0,0,0,,,,0,
20239506,ixelles,1050,"€1,200,000",Other,,,,,0,0,0,,,,0,
20240024,averbode,3271,"€336,500
*
336500€",Other,,,,,0,0,0,,,,0,
20233894,deinze,9800,"€337,000",Other,,,,,0,0,0,,,,0,
20236365,ronse,9600,"€347,400",Other,,,,,0,0,0,,,,0,
20236677,aalst,9300,"€349,000
*
349000€",Other,,,,,0,0,0,,,,0,
20236132,gavere,9890,"€365,000",Other,,,,,0,0,0,,,,0,
20235803,merendree,9850,"€370,000",Other,,,,,0,0,0,,,,0,
20236252,wetteren,9230,"€404,500",Other,,,,,0,0,0,,,,0,
20239119,noorderwijk,2200,"€430,000",Other,,,,,0,0,0,,,,0,
20235883,sint-denijs-westrem,9051,"€458,000",Other,,,,,0,0,0,,,,0,
20235884,gentbrugge,9050,"€467,000",Other,,,,,0,0,0,,,,0,
20235186,bruxelles,1130,"€481,000",Other,,,,,0,0,0,,,,0,
20235194,machelen,1830,"€481,000",Other,,,,,0,0,0,,,,0,
20235621,gent,9000,"€498,000",Other,,,,,0,0,0,,,,0,
20235882,zwijnaarde,9052,"€679,000",Other,,,,,0,0,0,,,,0,
20240496,waregem,8790,"€299,000
299000€",House,,,4,354 m²,1,0,1,,,3,0,Good
20239177,elzele,7890,"€349,000
349000€",House,,,3,138 m²,1,0,0,25 m²,2000 m²,4,0,To be done up
20238847,ronse,9600,"€349,000
349000€",House,,,3,138 m²,1,0,0,25 m²,2000 m²,4,0,To be done up
20232703,waasmunster,9250,"€455,000
*
455000€",Other,,,,,0,0,0,,,,0,
20232704,oostduinkerke,8670,"€473,000
*
473000€",Other,,,,,0,0,0,,,,0,
9397247,brugge,8000,"€485,000
*
485000€",Other,,,,,0,0,0,,,,0,
20235436,olen,2250,"€543,000
*
543000€",Other,,,,,0,0,0,,,,0,
20236558,antwerpen,2018,"€389,900
389900€",House,,,3,150 m²,1,0,0,5 m²,19 m²,2,0,Just renovated
20236560,borgerhout,2140,"€389,900
389900€",House,,,3,150 m²,1,0,0,5 m²,19 m²,2,0,Just renovated
20236655,waterloo,1410,"€975,000
975000€",House,,,7,465 m²,1,0,1,,477 m²,4,0,Good
